drängen,to ask for a speedy decision
einnisten,to nest [or build a nest] [in sb's home]
ermitteln,to determine [or calculate] sth
lechzen,to long for sth
gewähren,to afford [or offer] consolation
aufbringen,to pay sth
nachreichen,to hand sth [to sb] later
aufwerfen,to throw on sep soil
bearbeiten,to treat sth with a chemical
einschränken,to cut back [or down] [on sth]
stellen,to oppose sb/sth
darstellen,to portray [or play the part of] sb
vornehmen,to plan sth
entsinnen,to remember [sth/sb]
eingehen,to enter into sth [with sb]
einreichen,to submit [or present] sth [to sb]
einschränken,to cut [back on] sth
sausen,to whine
wehen,to fly
treffen,to aim well/badly
hüten,to keep sth
ankündigen,to announce itself [with sth]
begründen,to establish [or set up] a business
schwanken,to stagger [or reel]
treffen,to hit [the target]
erschrecken,to be shocked [by sth]
beherbergen,to accommodate [or house] sb
stellen,to finish [or complete] sth
eingehen,to enter into sth
strömen,to stream [out of sth]
