to give [sb] sth,erteilen
to make up for [or sep make up] sth,nacharbeiten
to touch up sth sep,nacharbeiten
to copy sth,nacharbeiten
to supply sb/sth with sb,zuführen
to supply a company with employees,zuführen
to supply sth to sb/sth,zuführen
to lead to sth,zuführen
to lead direct to sth,zuführen
to escape sb,entfallen
to slip sb's mind,entfallen
to be dropped,entfallen
to not be applicable,entfallen
to find one's way into sth,eingehen
to go down in the annals/in history,eingehen
to arrive,eingehen
to be received,eingehen
to enter into sth,eingehen
to take a risk,eingehen
to enter into sth [with sb],eingehen
to enter into alliance [with sb],eingehen
to have an effect,wirken
to work,wirken
to be effective,wirken
to do sth,wirken
to act,wirken
to deceive sb,täuschen
to be deceived by sb's behaviour [or Am -or] /assertion,täuschen
to be mistaken [or wrong],täuschen
to be deceptive,täuschen
to feint,täuschen
to sell sb a dummy Brit,täuschen
to exchange [or swap] sth [for sth],täuschen
to swap [sth] with sb,täuschen
to exchange sth,täuschen
to swap,täuschen
to dive off/into sth,hechten
to do a forward dive over sth,hechten
to keep house,wirtschaften
to manage,wirtschaften
to economize,wirtschaften
to arise,anfallen
to be produced,anfallen
to accrue on sth,anfallen
to attack sb,anfallen
to attack sb/an animal,anfallen
to work out sth sep,ausarbeiten
to perfect sth,ausarbeiten
to take sth [from sth],entnehmen
to withdraw sth [from sth],entnehmen
to continue to have an effect,fortwirken
to leave the nest [in swarms],schwärmen
to swarm somewhere,schwärmen
to go into raptures [about [or over] sth],schwärmen
to be mad [or crazy] about sb,schwärmen
to rhapsodize about [or over] sb/sth form,schwärmen
to fail [or to be a failure] [in sth],versagen
to be a failure [or to fail] at school,versagen
to fail,versagen
to be unsuccessful,versagen
to refuse sb sth,versagen
to refuse sb aid [or to come to sb's aid],versagen
to deny oneself sth,versagen
to refuse to give oneself to sb,versagen
to consider sth,bedenken
to take sth into consideration,bedenken
to consider [or think about] sth,bedenken
to reflect,bedenken
to think,bedenken
to caution that ...,bedenken
to warn that ...,bedenken
to continue,andauern
to go on,andauern
to look after sb/sth,hüten
to mind sb/sth,hüten
to keep sth,hüten
to look after sth carefully,hüten
to be on one's guard against sb/sth,hüten
to amount [or come] to sth [for sb],ergeben
to surrender [to sb],ergeben
to submit to sth,ergeben
to resign oneself to one's fate,ergeben
to pay sth,aufbringen
to raise [or find] money,aufbringen
to summon [up sep ] sth,aufbringen
to announce sb [to sb],ankündigen
to announce sb [as sb],ankündigen
to announce itself [with sth],ankündigen
to serve [or make do] as a roof,fungieren
to apply [or sep put on] sth,verstreichen
to apply a coat of paint,verstreichen
to use up sth sep,verstreichen
to pass [by],verstreichen
to elapse,verstreichen
to waste [or squander] sth,vergeuden
to go and stand somewhere,stellen
to come and stand somewhere,stellen
to oppose sb/sth,stellen
to support [or back] [or stand by] sb/sth,stellen
to put sb/sth somewhere [for sb],stellen
to place sth somewhere [for sb],stellen
to place [or put] sth upright,stellen
to prick up sep its ears,stellen
to finish [or complete] sth,stellen
to recover [after/from sth],genesen
to convalesce,genesen
to kick [[about sep ] one's legs],strampeln
to kick about,strampeln
to cycle,strampeln
to pedal like mad [or crazy] inf,strampeln
to rattle,scheppern
to clank,scheppern
to box sb's ears,scheppern
to clip sb round the ear,scheppern
to assume sth,voraussetzen
to require [or demand] sth,voraussetzen
to presuppose sth form,voraussetzen
to grant [sb] sth,gewähren
to give sb a discount,gewähren
to grant [or give] [sb] sth,gewähren
to provide [or ensure] security,gewähren
to catch sight of [or become aware of] sb,gewähren
to become aware of sth,gewähren
